rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_ret_ge_10_days,abs_ret_ge_20_days,abs_ret_ge_30_days,abs_gap_ge_10_days,range_ge_10_days
7,30,FR,2025,MLSML.PA,255,1.0,0.0189999993890523,58,35,19,62,34
8,30,FR,2025,ALMEX.PA,255,0.0,6.5,52,24,14,18,91
9,30,FR,2025,MLNMA.PA,255,1.0,0.1049999967217445,42,23,13,42,3
10,30,FR,2025,ALVER.PA,255,0.196078431372549,3.8000009059906006,66,32,13,62,187
1,30,HK,2025,3626.HK,246,0.2276422764227642,7.949999809265137,40,18,12,11,84
2,30,HK,2025,0352.HK,246,0.983739837398374,0.1000000014901161,25,19,10,8,38
3,30,HK,2025,0704.HK,246,1.0,0.0869999974966049,41,14,9,28,72
4,30,HK,2025,8460.HK,246,0.9715447154471544,0.0610000006854534,40,15,9,15,57
5,30,HK,2025,1939.HK,246,0.3048780487804878,1.5,31,10,9,6,71
6,30,HK,2025,0379.HK,246,1.0,0.0750000029802322,46,16,8,36,95
7,30,HK,2025,1421.HK,246,1.0,0.395000010728836,27,12,8,12,62
8,30,HK,2025,0515.HK,246,0.967479674796748,0.3100000023841858,35,18,8,10,64
9,30,HK,2025,1079.HK,246,1.0,0.0729999989271164,32,12,7,7,91
10,30,HK,2025,6928.HK,246,1.0,0.210999995470047,37,16,7,19,80
1,30,JP,2025,9610.T,243,0.3209876543209876,125.0,27,16,9,7,80
2,30,JP,2025,6993.T,243,0.9670781893004116,34.0,26,16,8,12,88
3,30,JP,2025,5721.T,243,0.382716049382716,122.0,57,21,8,22,110
4,30,JP,2025,2673.T,243,0.1646090534979424,137.0,25,13,7,3,51
5,30,JP,2025,4833.T,243,0.6748971193415638,91.0,28,10,6,6,65
6,30,JP,2025,8105.T,243,0.5925925925925926,54.0,46,12,6,19,78
7,30,JP,2025,6177.T,243,0.3744855967078189,107.0,30,11,6,10,56
8,30,JP,2025,7615.T,243,0.5761316872427984,94.0,22,10,5,12,46
9,30,JP,2025,2134.T,243,0.9876543209876544,31.0,35,13,4,9,94
10,30,JP,2025,3823.T,243,0.6666666666666666,77.0,37,6,4,12,75
1,30,KR,2025,000300.KS,241,0.0,1172393.0,4,4,4,4,0
2,30,KR,2025,043220.KQ,241,0.8298755186721992,171.0,8,6,3,3,22
3,30,KR,2025,035290.KQ,232,0.021551724137931,19950.0,4,4,3,1,19
4,30,KR,2025,010770.KS,241,0.0,4446.658203125,35,13,3,6,77
5,30,KR,2025,032980.KQ,241,1.0,390.0,8,3,2,1,19
6,30,KR,2025,008600.KS,241,1.0,434.0,16,7,2,6,44
7,30,KR,2025,217480.KQ,241,0.979253112033195,500.143310546875,2,2,2,2,0
8,30,KR,2025,050090.KQ,242,0.9049586776859504,856.5,9,6,2,4,43
9,30,KR,2025,101390.KQ,169,0.7514792899408284,396.0,16,7,2,5,32
10,30,KR,2025,051780.KQ,241,0.6804979253112033,811.0,13,6,2,4,52
1,30,TH,2025,NATION.BK,242,1.0,0.0299999993294477,85,85,61,83,231
2,30,TH,2025,MORE.BK,242,1.0,0.0399999991059303,88,80,56,77,239
3,30,TH,2025,WAVE.BK,242,1.0,0.0299999993294477,77,66,41,60,221
4,30,TH,2025,TWZ.BK,242,1.0,0.0299999993294477,53,53,40,41,240
5,30,TH,2025,AKS.BK,242,1.0,0.0399999991059303,59,59,40,54,149
6,30,TH,2025,CIG.BK,242,1.0,0.0399999991059303,80,72,37,78,230
7,30,TH,2025,SDC.BK,242,1.0,0.034999999217689,86,86,34,72,242
8,30,TH,2025,KC.BK,242,1.0,0.0399999991059303,92,63,34,90,202
9,30,TH,2025,TRITN.BK,242,1.0,0.0399999991059303,80,60,25,64,208
10,30,TH,2025,GRAND.BK,242,1.0,0.0399999991059303,88,80,20,79,221
1,30,TW,2025,6682.TWO,242,0.7231404958677686,13.924999713897703,30,9,4,0,79
2,30,TW,2025,6493.TWO,242,0.731404958677686,18.9618558883667,14,5,3,1,30
3,30,TW,2025,6787.TWO,242,0.3760330578512397,30.75,11,4,3,0,31
4,30,TW,2025,7875.TWO,28,0.0,67.04999923706055,6,4,3,0,10
5,30,TW,2025,6434.TWO,242,1.0,3.009999990463257,14,3,2,0,52
6,30,TW,2025,3585.TWO,242,1.0,7.019999980926514,17,4,2,1,44
7,30,TW,2025,6793.TWO,242,1.0,7.28000020980835,14,5,2,1,49
8,30,TW,2025,3114.TWO,242,0.9958677685950412,24.117634773254395,2,2,2,2,2
9,30,TW,2025,6990.TWO,210,0.9523809523809524,23.1773681640625,12,4,2,0,19
