rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_gap_ge_10_days,abs_gap_ge_20_days,abs_gap_ge_30_days,abs_ret_ge_10_days,range_ge_10_days
7,30,KR,2025,182400.KQ,241,0.0,9596.19921875,2,2,2,2,0
8,30,KR,2025,036630.KQ,200,0.0,10325.0,6,3,2,15,38
9,30,KR,2025,389140.KQ,241,0.0,10970.0,10,4,2,23,51
10,30,KR,2025,435570.KQ,203,0.0,13010.0,12,4,2,26,55
1,30,TH,2025,NATION.BK,242,1.0,0.0299999993294477,83,83,66,85,231
2,30,TH,2025,MORE.BK,242,1.0,0.0399999991059303,77,74,45,88,239
3,30,TH,2025,CIG.BK,242,1.0,0.0399999991059303,78,76,35,80,230
4,30,TH,2025,AKS.BK,242,1.0,0.0399999991059303,54,53,33,59,149
5,30,TH,2025,KC.BK,242,1.0,0.0399999991059303,90,63,33,92,202
6,30,TH,2025,TWZ.BK,242,1.0,0.0299999993294477,41,41,30,53,240
7,30,TH,2025,WAVE.BK,242,1.0,0.0299999993294477,60,43,25,77,221
8,30,TH,2025,SDC.BK,242,1.0,0.034999999217689,72,72,24,86,242
9,30,TH,2025,GRAND.BK,242,1.0,0.0399999991059303,79,74,17,88,221
10,30,TH,2025,TRITN.BK,242,1.0,0.0399999991059303,64,45,17,80,208
1,30,TW,2025,3114.TWO,242,0.9958677685950412,24.117634773254395,2,2,2,2,2
2,30,TW,2025,1752.TW,242,0.0041322314049586,37.52499961853027,2,2,2,2,0
3,30,TW,2025,6793.TWO,242,1.0,7.28000020980835,1,1,1,14,49
4,30,TW,2025,4950.TWO,242,1.0,12.350000381469728,1,1,1,1,17
5,30,TW,2025,7780.TW,243,0.9794238683127572,15.407329559326172,3,2,1,11,13
6,30,TW,2025,7711.TW,243,0.0,348.5,1,1,1,9,16
1,30,UK,2025,ETL.L,253,0.0,4.264999866485596,80,73,67,2,18
2,30,UK,2025,CDFF.L,253,0.0,2599.732421875,27,27,27,27,0
3,30,UK,2025,VOX.L,253,1.0,0.1500000059604644,25,25,24,26,4
4,30,UK,2025,FIL.L,253,0.6324110671936759,0.1099999994039535,23,23,23,23,0
5,30,UK,2025,BMTO.L,253,0.0,15.498380661010742,22,22,22,24,3
6,30,UK,2025,HSM.L,253,0.0,309.8845520019531,22,22,22,22,4
7,30,UK,2025,HOME.L,253,0.4229249011857707,38.04999923706055,21,21,21,21,0
8,30,UK,2025,HYG.L,253,0.3636363636363636,6.0,22,22,21,25,5
9,30,UK,2025,OT4.L,253,0.6284584980237155,0.0649999976158142,19,19,19,20,1
10,30,UK,2025,CRWN.L,253,0.4426877470355731,28.100000381469727,19,19,19,19,0
1,30,US,2025,PPCB,250,0.212,3.0,60,44,33,73,109
2,30,US,2025,MYPSW,250,1.0,0.0160000007599592,73,40,23,85,104
3,30,US,2025,PAPL,250,0.024,4.5,43,31,21,55,159
4,30,US,2025,MYSEW,250,1.0,0.2189999967813491,88,44,19,101,122
5,30,US,2025,LUCYW,250,1.0,0.0799999982118606,92,51,14,93,110
6,30,US,2025,HCTI,250,0.0,284.42999267578125,31,18,14,72,150
7,30,US,2025,BESS,250,0.02,6.920000076293945,65,21,13,62,65
8,30,US,2025,RNWWW,250,1.0,0.1169999986886978,93,34,11,90,141
9,30,US,2025,SEATW,250,1.0,0.1609999984502792,66,31,11,70,87
10,30,US,2025,CCGWW,250,1.0,0.0294999992474913,72,29,10,76,91
